-0.7718,-33.027,5.3952,19.351,0.72668,0.43591,0.21532
-1.0455,-33.126,5.1929,19.197,0.57837,0.54028,0.22173
-0.69642,-32.484,5.669,18.871,0.56006,0.4295,0.18877
-0.748,-32.979,5.4944,18.919,0.39343,0.46887,0.2025
0.19622,-33.126,6.4743,18.895,0.61499,0.46887,0.18236
-0.748,-32.706,5.6452,18.669,0.38702,0.42309,0.2025
0.24779,-33.178,6.3474,19.375,0.71386,0.70416,0.18236
-1.1447,-32.904,5.5698,18.82,0.49872,0.39013,0.18236
-0.22431,-32.682,5.9467,19.399,0.54175,0.77557,0.19518
-1.2955,-33.051,5.0937,19.173,0.31378,0.46887,0.18877
-1.0217,-32.757,5.3199,19.121,0.46759,0.65106,0.19518
-0.72419,-32.856,5.6968,19.399,0.46759,0.45513,0.23455
-0.29969,-33.4,6.2244,19.121,0.60949,0.57324,0.18877
-0.62104,-32.607,6.1213,19.399,0.60309,0.52105,0.24736
-0.64881,-33.027,5.546,19.074,0.28906,0.59887,0.26018
0.14861,-32.757,6.399,19.046,0.26983,0.59887,0.21532
-0.24812,-32.309,5.8951,18.34,0.2268,0.54028,0.24096
-0.10133,-32.238,5.8951,18.919,0.30096,0.72979,0.20891
-0.89479,-32.039,5.7959,18.566,0.38153,0.58605,0.17595
-1.0217,-31.817,5.4191,18.919,0.41174,0.74261,0.18877
-0.12513,-32.484,6.399,18.971,0.44928,0.63183,0.19518
-0.24812,-32.214,5.7721,18.895,0.37512,0.7362,0.16954
-0.64881,-31.642,5.8197,19.173,0.41174,0.61901,0.20891
0.14861,-32.261,6.3474,18.82,0.43005,0.70416,0.18877
-0.87098,-31.595,5.669,19.324,0.3385,0.65838,0.18236
-0.17671,-31.988,6.272,18.971,0.31378,0.74902,0.19518
-0.59724,-32.138,5.7959,19.276,0.16546,0.67761,0.20891
-0.29969,-31.694,6.1728,19.224,0.26434,0.78198,0.22173
-0.62104,-32.138,6.0221,18.994,0.26983,0.74261,0.22173
-1.2677,-31.571,5.7959,18.844,0.3504,0.67761,0.18236
-0.57344,-31.742,6.0975,19.121,0.36871,0.88635,0.17595
-0.7956,-32.115,5.8951,18.895,0.25793,0.63183,0.19518
-0.077525,-31.742,6.2244,19.224,0.31378,0.80212,0.17595
-0.3235,-31.742,6.0975,18.844,0.29455,0.56042,0.2025
-0.22431,-32.039,6.1728,19.324,0.23321,0.80212,0.2025
-1.2439,-31.222,5.669,19.121,0.28906,0.58605,0.18877
-0.47425,-31.694,6.1213,19.046,0.18377,0.70416,0.18877
-0.94636,-31.718,5.8197,18.994,-0.019473,0.6712,0.18877
-0.20051,-31.817,6.7005,19.351,0.091306,0.86071,0.21532
-0.0021465,-32.46,6.6529,19.149,0.11603,0.84057,0.24096
-1.3709,-31.496,5.6214,19.074,0.011655,0.76916,0.23455
-0.22431,-31.051,6.399,18.693,0.2268,0.92571,0.23455
-0.10133,-31.373,6.272,18.566,0.15906,0.69042,0.24096
-0.72419,-30.508,5.5698,18.744,0.066587,0.88635,0.26018
-0.87098,-30.532,5.7959,18.693,0.085813,0.67761,0.25377
-0.54963,-31.151,6.0221,18.792,-0.025882,0.88635,0.22814
-1.0971,-30.258,5.8197,18.919,0.079404,0.77557,0.24096
-0.0021465,-30.976,6.4743,18.768,0.091306,0.86712,0.26018
